iso3,pais,n_encuestados,apoyo_democracia_pct,satisfaccion_democracia_pct,confianza_interpersonal_pct,confianza_gobierno_pct,confianza_poder_judicial_pct,percepcion_corrupcion_prom
ARG,Argentina,1210,77.5,45,24.4,31.8,22.2,7.15
BOL,Bolivia,1200,52.5,9.6,12.6,11.9,12.9,7.83
BRA,Brasil,1204,50.9,28.2,5,27.7,35.2,7.66
CHL,Chile,1200,62.8,38.6,21,33,18.1,6.43
COL,Colombia,1200,52.5,20.2,15.3,21.7,22.5,7.6
CRI,Costa Rica,1000,65.3,45.2,10.5,36.3,45.9,7.15
DOM,República Dominicana,1000,56.9,44.9,20.3,52.1,39.7,7.02
ECU,Ecuador,1200,43.5,19,8.1,27.3,17.9,7.55
GTM,Guatemala,1000,40.2,28.4,15.7,22.8,22.6,7.1
HND,Honduras,1000,39.7,18,14.1,15,19.2,8.14
MEX,México,1200,51.8,50,26.1,51.5,35.1,6.44
PAN,Panamá,1000,57.8,35.1,19.1,36.7,33.1,6.97
PER,Perú,1200,47.6,10,10,8.4,18.4,8.15
PRY,Paraguay,1200,45.2,24.4,12.6,25.8,28.2,7.92
SLV,El Salvador,1000,53.5,62,16.1,65.8,50.5,4.88
URY,Uruguay,1200,74,62.9,19.9,48.7,50.1,5.84
VEN,Venezuela,1200,62.9,19.4,14.7,19.4,19,7.56
