clave_entidad,entidad,lista_nominal,total_votos,participacion,votos_shh,votos_fcm,votos_mc,votos_otros,pct_shh,pct_fcm,pct_mc
01,Aguascalientes,1100142,666242,60.5596,284706,306262,59498,15776,42.7331,45.9686,8.9304
02,Baja California,3202396,1560333,48.7239,1039973,330657,155262,34441,66.6507,21.1914,9.9506
03,Baja California Sur,614239,340089,55.3675,201126,101136,29825,8002,59.1392,29.7381,8.7698
04,Campeche,695148,449143,64.6111,275315,69546,94280,10002,61.2978,15.4842,20.9911
05,Coahuila,2414990,1588709,65.7853,853437,617208,85857,32207,53.7189,38.8497,5.4042
06,Colima,585817,345710,59.0133,188093,103580,46092,7945,54.4077,29.9615,13.3326
07,Chiapas,3948293,2472958,62.6336,1769444,412846,183101,107567,71.5517,16.6944,7.4041
08,Chihuahua,3090113,1644653,53.2231,885869,559690,157077,42017,53.8636,34.0309,9.5508
09,Ciudad de México,7971324,5607551,70.3465,3095413,1937152,467960,107026,55.2008,34.5454,8.3452
10,Durango,1402239,778910,55.5476,455237,250283,56129,17261,58.4454,32.1325,7.2061
11,Guanajuato,4843711,2759092,56.9624,1302706,1103326,291379,61681,47.215,39.9887,10.5607
12,Guerrero,2651803,1550100,58.4546,1110844,291130,98827,49299,71.6627,18.7814,6.3755
13,Hidalgo,2391872,1547961,64.7176,1043873,307056,159899,37133,67.4354,19.8362,10.3297
14,Jalisco,6643371,3872339,58.2888,1720921,1384825,670462,96131,44.4414,35.762,17.3141
15,México,13047896,8457177,64.8164,5125040,2241267,905529,185341,60.5999,26.5014,10.7072
16,Michoacán,3709890,2071174,55.8284,1140630,607301,250391,72852,55.0717,29.3216,12.0893
17,Morelos,1554378,989777,63.6767,631526,211169,126294,20788,63.8049,21.335,12.7598
18,Nayarit,953638,541715,56.8051,342762,109487,74621,14845,63.2735,20.2112,13.775
19,Nuevo León,4477542,2563876,57.2608,1159159,888064,463002,53651,45.2112,34.6376,18.0587
20,Oaxaca,3120558,1887077,60.4724,1441211,271981,124621,49264,76.3727,14.4128,6.6039
21,Puebla,4992480,3292952,65.9582,2146741,716148,332071,97992,65.192,21.7479,10.0843
22,Querétaro,1904182,1218458,63.9885,622335,449501,116117,30505,51.0756,36.891,9.5298
23,Quintana Roo,1462747,827285,56.5569,605361,138992,63890,19042,73.1744,16.801,7.7229
24,San Luis Potosí,2191107,1366198,62.352,826746,347948,146802,44702,60.5144,25.4683,10.7453
25,Sinaloa,2364669,1329806,56.2365,872249,326368,103193,27996,65.5922,24.5425,7.76
26,Sonora,2296076,1173719,51.1185,750219,290917,107759,24824,63.9181,24.7859,9.181
27,Tabasco,1813452,1114001,61.4299,897143,124037,66018,26803,80.5334,11.1344,5.9262
28,Tamaulipas,2854225,1626301,56.9787,1013715,427228,152528,32830,62.3326,26.2699,9.3788
29,Tlaxcala,1042938,740960,71.0455,512774,109112,103236,15838,69.204,14.7258,13.9327
30,Veracruz,6089453,3673997,60.3338,2441410,846842,294613,91132,66.4511,23.0496,8.0189
31,Yucatán,1768125,1284975,72.6744,779851,390645,88001,26478,60.69,30.401,6.8485
32,Zacatecas,1270180,771946,60.7745,388690,230993,130376,21887,50.352,29.9235,16.8893
