clave_municipio,clave_entidad,entidad,municipio,lista_nominal,total_votos,participacion,votos_shh,votos_fcm,votos_mc,votos_otros,pct_shh,pct_fcm,pct_mc,ventaja_shh
01001,01,Aguascalientes,Aguascalientes,732938,440900,60.1552,180350,210982,39834,9734,40.905,47.8526,9.0347,-6.9476
01002,01,Aguascalientes,Asientos,38773,25292,65.231,12499,10025,1986,782,49.4188,39.637,7.8523,9.7818
01003,01,Aguascalientes,Calvillo,50745,27261,53.7215,12738,11619,1902,1002,46.7261,42.6213,6.977,4.1048
01004,01,Aguascalientes,Cosio,12824,9333,72.7776,4723,3064,1218,328,50.6054,32.8297,13.0505,17.7757
01005,01,Aguascalientes,Jesus Maria,98765,58703,59.437,19663,32756,5084,1200,33.4957,55.7995,8.6605,-22.3038
01006,01,Aguascalientes,Pabellon de Arteaga,34527,21862,63.318600000000004,11550,7319,2463,530,52.8314,33.4782,11.2661,19.3532
01007,01,Aguascalientes,Rincon de Romos,41564,24090,57.9588,13625,7584,2168,713,56.5587,31.4819,8.9996,25.0768
01008,01,Aguascalientes,San Jose de Gracia,7778,5785,74.3764,2313,2024,1301,147,39.9827,34.987,22.4892,4.9957
01009,01,Aguascalientes,Tepezala,17460,12039,68.9519,5196,5843,643,357,43.1597,48.5339,5.341,-5.3742
01010,01,Aguascalientes,Llano--El,17010,11589,68.1305,7857,2948,550,234,67.797,25.4379,4.7459,42.3591
01011,01,Aguascalientes,San Francisco de los Romo,45230,27292,60.3405,13331,10950,2285,726,48.8458,40.1216,8.3724,8.7242
02001,02,Baja California,Ensenada,365882,187931,51.3638,119024,45234,19147,4526,63.3339,24.0695,10.1883,39.2644
02002,02,Baja California,Mexicali,866973,427625,49.3239,258026,118069,41747,9783,60.3393,27.6104,9.7625,32.7289
02003,02,Baja California,Tecate,97089,48555,50.0108,32664,9646,5002,1243,67.2722,19.8661,10.3017,47.4061
02004,02,Baja California,Tijuana,1644795,789508,48.0004,552733,141053,79684,16038,70.0098,17.8659,10.0929,52.1439
02005,02,Baja California,Playas de Rosarito,120655,53228,44.1159,37017,9101,5932,1178,69.5442,17.0981,11.1445,52.4461
02006,02,Baja California,San Quintin,87992,41247,46.8759,32246,4858,2707,1436,78.1778,11.7778,6.5629,66.4
02007,02,Baja California,San Felipe,15169,8974,59.1601,6457,1367,940,210,71.9523,15.2329,10.4747,56.7194
03001,03,Baja California Sur,Comondu,58393,30078,51.5096,18218,7125,3982,753,60.5692,23.6884,13.2389,36.8808
03002,03,Baja California Sur,Mulege,44771,26916,60.1193,16742,7963,1505,706,62.2009,29.5846,5.5915,32.6163
03003,03,Baja California Sur,Paz--La,228618,132439,57.9303,72042,44651,12893,2853,54.3964,33.7144,9.735,20.682
03008,03,Baja California Sur,Cabos--Los,268503,139966,52.1283,88049,37544,10887,3486,62.9074,26.8237,7.7783,36.0837
03009,03,Baja California Sur,Loreto,13530,10312,76.2158,5911,3654,552,195,57.3216,35.4344,5.353,21.8872
04001,04,Campeche,Calkini,32551,25583,78.5936,17819,2439,4887,438,69.6517,9.5337,19.1025,50.5492
04002,04,Campeche,Campeche,218185,144676,66.3089,67347,31216,43177,2936,46.5502,21.5765,29.8439,16.7063
04003,04,Campeche,Carmen,188137,111779,59.4136,80779,11905,16779,2316,72.2667,10.6505,15.0109,57.2558
04004,04,Campeche,Champoton,58657,35663,60.7992,24851,4226,5555,1031,69.6829,11.8498,15.5764,54.1065
04005,04,Campeche,Hecelchakan,24253,17673,72.8693,11347,663,5433,230,64.2053,3.7515,30.7418,33.4635
04006,04,Campeche,Hopelchen,30812,21930,71.1736,12441,6170,2945,374,56.7305,28.135,13.4291,28.5955
04007,04,Campeche,Palizada,7401,5845,78.9758,3980,1298,475,92,68.0924,22.207,8.1266,45.8854
04008,04,Campeche,Tenabo,8887,7231,81.366,3749,1759,1584,139,51.8462,24.3258,21.9057,27.5204
04009,04,Campeche,Escarcega,44630,24685,55.3103,17609,2575,3707,794,71.3348,10.4314,15.0172,56.3176
04010,04,Campeche,Calakmul,20986,13792,65.72,10495,1576,1232,489,76.0948,11.4269,8.9327,64.6679
04011,04,Campeche,Candelaria,36016,21549,59.8317,14360,2207,4217,765,66.6388,10.2418,19.5694,47.0694
04012,04,Campeche,Seybaplaya,12016,8874,73.8515,5778,1679,1231,186,65.1116,18.9204,13.872,46.1912
04013,04,Campeche,Dzitbalche,12180,9515,78.1199,4586,1674,3045,210,48.1976,17.5933,32.0021,16.1955
05001,05,Coahuila,Abasolo,1336,1100,82.3353,609,442,33,16,55.3636,40.1818,3,15.1818
05002,05,Coahuila,Acuña,130100,73904,56.8055,39559,28778,3505,2062,53.5275,38.9397,4.7426,14.5878
05003,05,Coahuila,Allende,19721,12514,63.4552,8103,3630,520,261,64.7515,29.0075,4.1553,35.744
05004,05,Coahuila,Arteaga,21306,15446,72.496,7361,7153,582,350,47.6564,46.3097,3.768,1.3467
05005,05,Coahuila,Candela,1631,1430,87.6763,516,540,324,50,36.0839,37.7622,22.6573,-1.6783
05006,05,Coahuila,Castaños,22662,15322,67.611,8705,5473,829,315,56.8137,35.7199,5.4105,21.0938
05007,05,Coahuila,Cuatrocienegas,9668,6798,70.3144,3066,3213,258,261,45.1015,47.2639,3.7952,-2.1624
05008,05,Coahuila,Escobedo,2571,1921,74.718,981,642,264,34,51.0672,33.4201,13.7428,17.6471
05009,05,Coahuila,Francisco I. Madero,45856,33085,72.1498,21734,9621,1159,571,65.6914,29.0796,3.5031,36.6118
05010,05,Coahuila,Frontera,63585,41658,65.5155,25383,13543,2114,618,60.9319,32.51,5.0747,28.4219
05011,05,Coahuila,General Cepeda,9817,7681,78.2418,3572,3543,253,313,46.5044,46.1268,3.2938,0.3776
05012,05,Coahuila,Guerrero,1890,1412,74.709,625,725,26,36,44.2635,51.3456,1.8414,-7.0821
05013,05,Coahuila,Hidalgo,1416,1104,77.9661,540,295,243,26,48.913,26.721,22.0109,22.192
05014,05,Coahuila,Jimenez,8917,5313,59.5828,2984,1800,345,184,56.1641,33.8792,6.4935,22.2849
05015,05,Coahuila,Juarez,1398,1064,76.1087,604,402,29,29,56.7669,37.782,2.7256,18.9849
05016,05,Coahuila,Lamadrid,1647,1336,81.1172,673,585,55,23,50.3743,43.7874,4.1168,6.5869
05017,05,Coahuila,Matamoros,87726,63004,71.8191,40920,19181,1765,1138,64.9483,30.4441,2.8014,34.5042
05018,05,Coahuila,Monclova,180878,118103,65.2943,55227,55180,5456,2240,46.7617,46.7219,4.6197,0.0398
05019,05,Coahuila,Morelos,7467,4738,63.4525,2814,1672,148,104,59.3921,35.2892,3.1237,24.1029
05020,05,Coahuila,Muzquiz,56546,37233,65.8455,20089,14719,1382,1043,53.9548,39.5321,3.7118,14.4227
05021,05,Coahuila,Nadadores,5124,3763,73.4387,2324,1277,112,50,61.7592,33.9357,2.9763,27.8235
05022,05,Coahuila,Nava,25730,15964,62.0443,11607,3462,591,304,72.7073,21.6863,3.7021,51.021
05023,05,Coahuila,Ocampo,7137,4124,57.7834,2395,1526,108,95,58.0747,37.0029,2.6188,21.0718
05024,05,Coahuila,Parras,34828,22917,65.8005,14156,6916,1223,622,61.7707,30.1785,5.3366,31.5922
05025,05,Coahuila,Piedras Negras,145084,89755,61.8642,49809,33992,4059,1895,55.4944,37.872,4.5223,17.6224
05026,05,Coahuila,Progreso,2998,2186,72.9153,1016,1080,42,48,46.4776,49.4053,1.9213,-2.9277
05027,05,Coahuila,Ramos Arizpe,84524,50789,60.0883,28502,17716,3664,907,56.1185,34.8816,7.2142,21.2369
05028,05,Coahuila,Sabinas,52742,33942,64.3548,20393,11046,1768,735,60.0819,32.5438,5.2089,27.5381
05029,05,Coahuila,Sacramento,2077,1794,86.3746,755,847,166,26,42.0847,47.2129,9.2531,-5.1282
05030,05,Coahuila,Saltillo,657406,419340,63.7871,212009,166205,33372,7754,50.5578,39.6349,7.9582,10.9229
05031,05,Coahuila,San Buenaventura,19603,13021,66.4235,7830,4469,541,181,60.1336,34.3215,4.1548,25.8121
05032,05,Coahuila,San Juan de Sabinas,34989,22975,65.6635,12830,8794,913,438,55.8433,38.2764,3.9739,17.5669
05033,05,Coahuila,San Pedro,75941,54828,72.1982,34377,17323,1392,1736,62.6997,31.5952,2.5388,31.1045
05034,05,Coahuila,Sierra Mojada,3624,2151,59.3543,1047,960,103,41,48.675,44.6304,4.7885,4.0446
05035,05,Coahuila,Torreon,550439,382226,69.4402,196057,161291,17666,7212,51.2935,42.1978,4.6219,9.0957
05036,05,Coahuila,Viesca,15470,11127,71.9263,6828,3919,187,193,61.3642,35.2206,1.6806,26.1436
05037,05,Coahuila,Villa Union,5694,3583,62.9259,1964,1274,258,87,54.8144,35.5568,7.2007,19.2576
05038,05,Coahuila,Zaragoza,11467,6738,58.7599,4103,2119,333,183,60.8934,31.4485,4.9421,29.4449
06001,06,Colima,Armeria,22278,12351,55.4403,8145,2123,1753,330,65.9461,17.1889,14.1932,48.7572
06002,06,Colima,Colima,134286,83914,62.489,38343,32914,10907,1750,45.6932,39.2235,12.9978,6.4697
06003,06,Colima,Comala,18087,11958,66.1138,5740,4334,1554,330,48.0013,36.2435,12.9955,11.7578
06004,06,Colima,Coquimatlan,16358,9602,58.6991,4797,3263,1283,259,49.9583,33.9825,13.3618,15.9758
06005,06,Colima,Cuauhtemoc,24951,15019,60.194,7791,5392,1545,291,51.8743,35.9012,10.287,15.9731
06006,06,Colima,Ixtlahuacan,5369,3978,74.092,2442,538,823,175,61.3876,13.5244,20.6888,40.6988
06007,06,Colima,Manzanillo,151625,86472,57.0302,54966,17636,11839,2031,63.5651,20.395,13.6911,43.1701
