clave_entidad,entidad,clave_municipio_inegi,clave_municipio_ife,municipio
01,Aguascalientes,01001,01001,Aguascalientes
01,Aguascalientes,01002,01002,Asientos
01,Aguascalientes,01003,01003,Calvillo
01,Aguascalientes,01004,01004,Cosio
01,Aguascalientes,01005,01005,Jesus Maria
01,Aguascalientes,01006,01006,Pabellon de Arteaga
01,Aguascalientes,01007,01007,Rincon de Romos
01,Aguascalientes,01008,01008,San Jose de Gracia
01,Aguascalientes,01009,01009,Tepezala
01,Aguascalientes,01010,01011,Llano--El
01,Aguascalientes,01011,01010,San Francisco de los Romo
02,Baja California,02001,02001,Ensenada
02,Baja California,02002,02002,Mexicali
02,Baja California,02003,02003,Tecate
02,Baja California,02004,02004,Tijuana
02,Baja California,02005,02005,Playas de Rosarito
02,Baja California,02006,02006,San Quintin
02,Baja California,02007,02007,San Felipe
03,Baja California Sur,03001,03001,Comondu
03,Baja California Sur,03002,03002,Mulege
03,Baja California Sur,03003,03003,Paz--La
03,Baja California Sur,03008,03004,Cabos--Los
03,Baja California Sur,03009,03005,Loreto
04,Campeche,04001,04002,Calkini
04,Campeche,04002,04001,Campeche
04,Campeche,04003,04003,Carmen
04,Campeche,04004,04004,Champoton
04,Campeche,04005,04005,Hecelchakan
04,Campeche,04006,04006,Hopelchen
04,Campeche,04007,04007,Palizada
04,Campeche,04008,04008,Tenabo
04,Campeche,04009,04009,Escarcega
04,Campeche,04010,04011,Calakmul
04,Campeche,04011,04010,Candelaria
04,Campeche,04012,04013,Seybaplaya
04,Campeche,04013,04012,Dzitbalche
05,Coahuila,05001,05001,Abasolo
05,Coahuila,05002,05002,Acuña
05,Coahuila,05003,05003,Allende
05,Coahuila,05004,05004,Arteaga
05,Coahuila,05005,05005,Candela
05,Coahuila,05006,05006,Castaños
05,Coahuila,05007,05007,Cuatrocienegas
05,Coahuila,05008,05008,Escobedo
05,Coahuila,05009,05009,Francisco I. Madero
05,Coahuila,05010,05010,Frontera
05,Coahuila,05011,05011,General Cepeda
05,Coahuila,05012,05012,Guerrero
05,Coahuila,05013,05013,Hidalgo
05,Coahuila,05014,05014,Jimenez
05,Coahuila,05015,05015,Juarez
05,Coahuila,05016,05016,Lamadrid
05,Coahuila,05017,05017,Matamoros
05,Coahuila,05018,05018,Monclova
05,Coahuila,05019,05019,Morelos
05,Coahuila,05020,05020,Muzquiz
05,Coahuila,05021,05021,Nadadores
05,Coahuila,05022,05022,Nava
05,Coahuila,05023,05023,Ocampo
05,Coahuila,05024,05024,Parras
05,Coahuila,05025,05025,Piedras Negras
05,Coahuila,05026,05026,Progreso
05,Coahuila,05027,05027,Ramos Arizpe
05,Coahuila,05028,05028,Sabinas
05,Coahuila,05029,05029,Sacramento
05,Coahuila,05030,05030,Saltillo
05,Coahuila,05031,05031,San Buenaventura
05,Coahuila,05032,05032,San Juan de Sabinas
05,Coahuila,05033,05033,San Pedro
05,Coahuila,05034,05034,Sierra Mojada
05,Coahuila,05035,05035,Torreon
05,Coahuila,05036,05036,Viesca
05,Coahuila,05037,05037,Villa Union
05,Coahuila,05038,05038,Zaragoza
06,Colima,06001,06006,Armeria
06,Colima,06002,06001,Colima
06,Colima,06003,06002,Comala
06,Colima,06004,06003,Coquimatlan
06,Colima,06005,06004,Cuauhtemoc
06,Colima,06006,06007,Ixtlahuacan
06,Colima,06007,06008,Manzanillo
06,Colima,06008,06009,Minatitlan
06,Colima,06009,06010,Tecoman
06,Colima,06010,06005,Villa de Alvarez
07,Chiapas,07001,07001,Acacoyagua
07,Chiapas,07002,07002,Acala
07,Chiapas,07003,07003,Acapetahua
07,Chiapas,07004,07004,Altamirano
07,Chiapas,07005,07005,Amatan
07,Chiapas,07006,07006,Amatenango de la Frontera
07,Chiapas,07007,07007,Amatenango del Valle
07,Chiapas,07008,07008,Angel Albino Corzo
07,Chiapas,07009,07009,Arriaga
07,Chiapas,07010,07010,Bejucal de Ocampo
07,Chiapas,07011,07011,Bella Vista
07,Chiapas,07012,07012,Berriozabal
07,Chiapas,07013,07013,Bochil
07,Chiapas,07014,07014,Bosque--El
07,Chiapas,07015,07015,Cacahoatan
07,Chiapas,07016,07016,Catazaja
07,Chiapas,07017,07017,Cintalapa
07,Chiapas,07018,07018,Coapilla
07,Chiapas,07019,07019,Comitan de Dominguez
07,Chiapas,07020,07020,Concordia--La
07,Chiapas,07021,07021,Copainala
07,Chiapas,07022,07022,Chalchihuitan
07,Chiapas,07023,07023,Chamula
07,Chiapas,07024,07024,Chanal
07,Chiapas,07025,07025,Chapultenango
07,Chiapas,07026,07026,Chenalho
07,Chiapas,07027,07027,Chiapa de Corzo
07,Chiapas,07028,07028,Chiapilla
07,Chiapas,07029,07029,Chicoasen
07,Chiapas,07030,07030,Chicomuselo
07,Chiapas,07031,07031,Chilon
07,Chiapas,07032,07032,Escuintla
07,Chiapas,07033,07033,Francisco Leon
07,Chiapas,07034,07034,Frontera Comalapa
07,Chiapas,07035,07035,Frontera Hidalgo
07,Chiapas,07036,07036,Grandeza--La
07,Chiapas,07037,07037,Huehuetan
07,Chiapas,07038,07039,Huixtan
07,Chiapas,07039,07038,Huitiupan
07,Chiapas,07040,07040,Huixtla
07,Chiapas,07041,07041,Independencia--La
07,Chiapas,07042,07042,Ixhuatan
07,Chiapas,07043,07043,Ixtacomitan
07,Chiapas,07044,07044,Ixtapa
07,Chiapas,07045,07045,Ixtapangajoya
07,Chiapas,07046,07046,Jiquipilas
07,Chiapas,07047,07047,Jitotol
07,Chiapas,07048,07048,Juarez
07,Chiapas,07049,07049,Larrainzar
07,Chiapas,07050,07050,Libertad--La
07,Chiapas,07051,07051,Mapastepec
07,Chiapas,07052,07052,Margaritas--Las
07,Chiapas,07053,07053,Mazapa de Madero
07,Chiapas,07054,07054,Mazatan
07,Chiapas,07055,07055,Metapa
07,Chiapas,07056,07056,Mitontic
07,Chiapas,07057,07057,Motozintla
07,Chiapas,07058,07058,Nicolas Ruiz
07,Chiapas,07059,07059,Ocosingo
07,Chiapas,07060,07060,Ocotepec
07,Chiapas,07061,07061,Ocozocoautla de Espinosa
07,Chiapas,07062,07062,Ostuacan
07,Chiapas,07063,07063,Osumacinta
07,Chiapas,07064,07064,Oxchuc
07,Chiapas,07065,07065,Palenque
07,Chiapas,07066,07066,Pantelho
07,Chiapas,07067,07067,Pantepec
07,Chiapas,07068,07068,Pichucalco
07,Chiapas,07069,07069,Pijijiapan
07,Chiapas,07070,07070,Porvenir--El
07,Chiapas,07071,07107,Villa Comaltitlan
07,Chiapas,07072,07071,Pueblo Nuevo Solistahuacan
07,Chiapas,07073,07072,Rayon
07,Chiapas,07074,07073,Reforma
07,Chiapas,07075,07074,Rosas--Las
07,Chiapas,07076,07075,Sabanilla
07,Chiapas,07077,07076,Salto de Agua
07,Chiapas,07078,07077,San Cristobal de las Casas
07,Chiapas,07079,07078,San Fernando
07,Chiapas,07080,07081,Siltepec
07,Chiapas,07081,07082,Simojovel
