iso3,pais,indice_control_corrupcion,indice_efectividad_gubernamental,indice_estado_derecho,indice_estabilidad_politica,indice_percepcion_corrupcion_ti,indice_desarrollo_humano,gasto_publico_educacion_pib
ARG,Argentina,-0.3402325,0.1085858,-0.2913485,0.05764379999999999,38,0.858,4.79263019561768
ATG,Antigua y Barbuda,0.2369304,-0.0927924,0.6200291,1.0787211,NA,0.848,2.50368755552383
BHS,Bahamas,1.2330854999999998,0.7093343999999999,0.272063,0.8592816,64,0.818,2.62367021406169
BLZ,Belice,-0.04591419999999999,-0.14130489999999998,-0.4371369,0.7353533,NA,0.717,4.60415983200073
BOL,Bolivia,-0.9824356,-0.4335715,-1.1775683,-0.17060889999999998,31,0.727,7.57550001144409
BRA,Brasil,-0.4562788,-0.2352194,-0.4398335,-0.4157969,38,0.78,5.61922979354858
BRB,Barbados,1.1926841,0.7073037999999999,0.7169373,1.2066625,65,0.807,4.14000988006592
CAN,Canadá,1.651994,1.8072447,1.5052580999999998,0.5074459,74,0.935,4.88021993637085
CHL,Chile,1.1452970999999998,0.8753580999999999,0.7437613,-0.004406,67,0.869,4.89753007888794
COL,Colombia,-0.25640029999999997,0.0015825,-0.5296476,-0.809182,39,0.782,5.26166009902954
CRI,Costa Rica,0.5669805,0.1212348,0.6675589,1.1460641,54,0.823,6.24841976165771
CUB,Cuba,-0.2238752,0.0198019,-0.4977926,0.4974928,45,0.764,8.44086351669284
DMA,Dominica,0.3990364,-0.0222235,0.5641307999999999,1.2397365,55,0.759,6.04314243406571
DOM,República Dominicana,-0.4221725999999999,-0.1210713,-0.2774196,0.4914554,32,0.778,3.61088872070271
ECU,Ecuador,-0.655353,0.00162489999999999,-0.5794902,-0.2336288,36,0.773,3.59897994995117
GRD,Granada,0.2886861,-0.0438885,0.4711413,1.2048361,52,0.789,4.03767284869161
GTM,Guatemala,-1.2166625,-0.8842065,-1.0371304,-0.3005447,24,0.655,3.20823001861572
GUY,Guyana,-0.2293385,-0.1291709,-0.3602997,0.210713,40,0.763,NA
HND,Honduras,-1.0314053,-0.6862581999999999,-1.0917528,-0.4781621,23,0.643,4.48280030802056
HTI,Haití,-1.508626,-2.0132007,-1.5628925,-0.9470024,17,0.552,1.02689812206798
JAM,Jamaica,-0.0788141,0.25448889999999996,-0.06873889999999999,0.4525342,44,0.718,5.35435009002685
KNA,San Cristóbal y Nieves,0.3109783,0.691453,0.571593,0.9177056,NA,0.829,3.5579615526858
LCA,Santa Lucía,0.3713679,0.1826232,0.5318302,1.0438207,55,0.747,4.64235019683838
MEX,México,-0.8757541,-0.0874176,-1.0822517,-0.5890439,31,0.783,4.0658597946167
NIC,Nicaragua,-1.2447097,-0.9210621,-1.4947534999999998,-0.16846029999999998,19,0.701,3.80001496174069
PAN,Panamá,-0.5629265999999999,0.0399223,-0.2146568,0.428471,36,0.835,3.37781000137329
PER,Perú,-0.6415611999999999,-0.0885376,-0.4872516999999999,-0.6566212,36,0.79,3.83315992355347
PRY,Paraguay,-0.9538621,-0.4957841999999999,-0.5403787999999999,-0.06590739999999999,28,0.747,3.39619994163513
SLV,El Salvador,-0.680151,-0.387094,-0.9646984,-0.0998814,33,0.674,3.25634002685547
SUR,Surinam,-0.30894309999999997,-0.3711426,-0.2196339,0.2466594,40,0.719,3.43460841988051
TTO,Trinidad y Tobago,-0.2989622,0.1507374,-0.2477989,0.3498483,42,0.805,2.67331004142761
URY,Uruguay,1.6139339,0.8993588,0.9765591,1.3035622,74,0.852,4.5073299407959
USA,Estados Unidos,1.2023562,1.4713231999999998,1.0518325,-0.1626087,69,0.93,5.42038011550903
VCT,San Vicente y las Granadinas,0.7243710999999999,0.5327234,0.6160382,1.0438207,60,0.794,7.07575034584772
VEN,Venezuela,-1.603038,-1.5015522,-2.2378914,-1.1268117,14,0.706,0.0031300000846386
