iso3,pais,pais_en,subregion_vdem,anio,indice_democracia_electoral,indice_democracia_liberal,indice_corrupcion_politica,indice_libertades_civiles,indice_empoderamiento_politico_mujeres
ARG,Argentina,Argentina,America Latina y el Caribe,1990,0.826,0.617,0.631,0.911,0.727
ARG,Argentina,Argentina,America Latina y el Caribe,1991,0.829,0.63,0.631,0.921,0.763
ARG,Argentina,Argentina,America Latina y el Caribe,1992,0.829,0.631,0.631,0.921,0.766
ARG,Argentina,Argentina,America Latina y el Caribe,1993,0.829,0.63,0.611,0.921,0.81
ARG,Argentina,Argentina,America Latina y el Caribe,1994,0.834,0.633,0.611,0.921,0.809
ARG,Argentina,Argentina,America Latina y el Caribe,1995,0.833,0.641,0.611,0.921,0.833
ARG,Argentina,Argentina,America Latina y el Caribe,1996,0.83,0.634,0.611,0.92,0.833
ARG,Argentina,Argentina,America Latina y el Caribe,1997,0.829,0.634,0.611,0.92,0.846
ARG,Argentina,Argentina,America Latina y el Caribe,1998,0.828,0.634,0.611,0.92,0.846
ARG,Argentina,Argentina,America Latina y el Caribe,1999,0.828,0.64,0.6,0.935,0.842
ARG,Argentina,Argentina,America Latina y el Caribe,2000,0.833,0.67,0.459,0.937,0.852
ARG,Argentina,Argentina,America Latina y el Caribe,2001,0.833,0.674,0.459,0.93,0.862
ARG,Argentina,Argentina,America Latina y el Caribe,2002,0.826,0.661,0.53,0.921,0.844
ARG,Argentina,Argentina,America Latina y el Caribe,2003,0.807,0.638,0.551,0.912,0.844
ARG,Argentina,Argentina,America Latina y el Caribe,2004,0.795,0.632,0.551,0.914,0.851
ARG,Argentina,Argentina,America Latina y el Caribe,2005,0.793,0.625,0.551,0.914,0.851
ARG,Argentina,Argentina,America Latina y el Caribe,2006,0.78,0.614,0.551,0.911,0.849
ARG,Argentina,Argentina,America Latina y el Caribe,2007,0.781,0.61,0.551,0.908,0.845
ARG,Argentina,Argentina,America Latina y el Caribe,2008,0.766,0.59,0.551,0.901,0.849
ARG,Argentina,Argentina,America Latina y el Caribe,2009,0.756,0.583,0.551,0.901,0.851
ARG,Argentina,Argentina,America Latina y el Caribe,2010,0.746,0.578,0.544,0.898,0.843
ARG,Argentina,Argentina,America Latina y el Caribe,2011,0.749,0.573,0.544,0.896,0.845
ARG,Argentina,Argentina,America Latina y el Caribe,2012,0.763,0.582,0.544,0.89,0.846
ARG,Argentina,Argentina,America Latina y el Caribe,2013,0.772,0.588,0.551,0.89,0.842
ARG,Argentina,Argentina,America Latina y el Caribe,2014,0.777,0.595,0.551,0.893,0.846
ARG,Argentina,Argentina,America Latina y el Caribe,2015,0.765,0.59,0.525,0.875,0.84
ARG,Argentina,Argentina,America Latina y el Caribe,2016,0.751,0.612,0.436,0.887,0.832
ARG,Argentina,Argentina,America Latina y el Caribe,2017,0.751,0.609,0.411,0.87,0.848
ARG,Argentina,Argentina,America Latina y el Caribe,2018,0.78,0.63,0.41,0.888,0.866
ARG,Argentina,Argentina,America Latina y el Caribe,2019,0.779,0.618,0.408,0.873,0.857
ARG,Argentina,Argentina,America Latina y el Caribe,2020,0.797,0.634,0.479,0.886,0.84
ARG,Argentina,Argentina,America Latina y el Caribe,2021,0.796,0.639,0.479,0.869,0.834
ARG,Argentina,Argentina,America Latina y el Caribe,2022,0.831,0.654,0.479,0.871,0.848
ARG,Argentina,Argentina,America Latina y el Caribe,2023,0.838,0.695,0.404,0.906,0.861
ARG,Argentina,Argentina,America Latina y el Caribe,2024,0.721,0.558,0.39,0.859,0.845
ARG,Argentina,Argentina,America Latina y el Caribe,2025,0.69,0.524,0.415,0.821,0.832
BOL,Bolivia,Bolivia,America Latina y el Caribe,1990,0.651,0.431,0.697,0.827,0.522
BOL,Bolivia,Bolivia,America Latina y el Caribe,1991,0.686,0.456,0.697,0.849,0.522
BOL,Bolivia,Bolivia,America Latina y el Caribe,1992,0.697,0.462,0.697,0.849,0.522
BOL,Bolivia,Bolivia,America Latina y el Caribe,1993,0.705,0.469,0.697,0.843,0.55
BOL,Bolivia,Bolivia,America Latina y el Caribe,1994,0.718,0.481,0.696,0.849,0.599
BOL,Bolivia,Bolivia,America Latina y el Caribe,1995,0.73,0.492,0.696,0.855,0.612
BOL,Bolivia,Bolivia,America Latina y el Caribe,1996,0.73,0.492,0.696,0.855,0.613
BOL,Bolivia,Bolivia,America Latina y el Caribe,1997,0.735,0.518,0.713,0.852,0.617
BOL,Bolivia,Bolivia,America Latina y el Caribe,1998,0.735,0.518,0.713,0.849,0.617
BOL,Bolivia,Bolivia,America Latina y el Caribe,1999,0.743,0.523,0.713,0.852,0.617
BOL,Bolivia,Bolivia,America Latina y el Caribe,2000,0.743,0.527,0.713,0.852,0.657
BOL,Bolivia,Bolivia,America Latina y el Caribe,2001,0.737,0.52,0.713,0.851,0.657
BOL,Bolivia,Bolivia,America Latina y el Caribe,2002,0.719,0.51,0.721,0.847,0.692
BOL,Bolivia,Bolivia,America Latina y el Caribe,2003,0.719,0.515,0.713,0.843,0.692
BOL,Bolivia,Bolivia,America Latina y el Caribe,2004,0.753,0.541,0.67,0.855,0.692
BOL,Bolivia,Bolivia,America Latina y el Caribe,2005,0.746,0.534,0.672,0.842,0.687
BOL,Bolivia,Bolivia,America Latina y el Caribe,2006,0.724,0.462,0.696,0.836,0.708
